Date,Gross_Equity,Net_Equity
2012-03-27,6.48487146632294,5.735434214399625
2012-03-28,6.459248014321695,5.712380671602413
2012-03-29,6.467016457343238,5.716689180161407
2012-03-30,6.47325211156372,5.7196377304384844
2012-04-02,6.5143612735432415,5.755109187538242
2012-04-03,6.482929178840677,5.724531099615847
2012-04-04,6.466031350030896,5.706364229952798
2012-04-05,6.469793927411723,5.7096681117118875
2012-04-09,6.487448430962769,5.721277375156979
2012-04-10,6.494502847687917,5.726636388374197
2012-04-11,6.491364551507418,5.722416018738844
2012-04-12,6.5118958960251785,5.737916534182529
2012-04-13,6.542743010047296,5.763586918822721
2012-04-16,6.5455068162708,5.765993157977053
2012-04-17,6.564944282960824,5.781619683245443
2012-04-18,6.563699918743287,5.780505674477339
2012-04-19,6.557582864289199,5.775103683916781
2012-04-20,6.566356683748008,5.782801468280819
2012-04-23,6.564657816063382,5.780799133231027
2012-04-24,6.565594043722117,5.781609592613678
2012-04-25,6.589138951474743,5.801822306167159
2012-04-26,6.604089240394853,5.814964672494685
2012-04-27,6.610257265627695,5.8203861492404805
2012-04-30,6.607397400565602,5.817850894742068
2012-05-01,6.6150163699358835,5.824271214357654
2012-05-02,6.6271225291439135,5.834641684524175
2012-05-03,6.623253281232213,5.831218846173008
2012-05-04,6.6241322112977405,5.831445073770229
2012-05-07,6.633848876840945,5.839205112580015
2012-05-08,6.642168766871988,5.84652273061565
2012-05-09,6.639052189376105,5.843758164171796
2012-05-10,6.6326274240883745,5.838088472544199
2012-05-11,6.647463866521692,5.851143132919214
2012-05-14,6.649110430382972,5.852575744212141
2012-05-15,6.653479975836427,5.855448007028292
2012-05-16,6.65133483033285,5.853542709548464
2012-05-17,6.649015780973524,5.850987005173753
2012-05-18,6.6366223644330296,5.840035171404825
2012-05-21,6.632969228600804,5.8368117059229085
2012-05-22,6.631151290486987,5.8336940073781
2012-05-23,6.647219415950968,5.846319470207276
2012-05-24,6.647673677296854,5.846710357321167
2012-05-25,6.660533444332222,5.85801386903933
2012-05-29,6.658517648713389,5.856217974195966
2012-05-30,6.6948553803712905,5.888168336011266
2012-05-31,6.7235068326220455,5.913343206238299
2012-06-01,6.751541099106807,5.937971389812352
2012-06-04,6.721000250704876,5.9110973936435105
2012-06-05,6.707910111314287,5.899558746794038
2012-06-06,6.6716903097263724,5.867668374146005
2012-06-07,6.682570796445778,5.877221724164223
2012-06-08,6.6976882666004025,5.890085593350601
2012-06-11,6.704438937300868,5.895589606659573
2012-06-12,6.687293989065546,5.880509979890209
2012-06-13,6.7039478153154795,5.894766843249146
2012-06-14,6.704104501886624,5.894103824529523
2012-06-15,6.717268598695221,5.905334700058316
2012-06-18,6.72658864861157,5.913510930496798
2012-06-19,6.720390276424542,5.90765875515842
2012-06-20,6.723029048735904,5.9096727679988135
2012-06-21,6.735461432806988,5.91983962311365
2012-06-22,6.727922814500784,5.913183945391586
2012-06-25,6.749348619661364,5.9320040867947705
2012-06-26,6.742741958887921,5.926176233953301
2012-06-27,6.7559848930569295,5.937808038151906
2012-06-28,6.768138992823986,5.948117598476833
2012-06-29,6.798401181433436,5.973823978840002
2012-07-02,6.823288890331688,5.995620156915355
2012-07-03,6.839043561929798,6.009183042101339
2012-07-05,6.845747506510103,6.015067621762173
2012-07-06,6.847977809060949,6.0167482452252115
2012-07-09,6.852700122016027,6.020892030793406
