Date,Gross_NoMacro,Net_NoMacro,Gross_WithMacro,Net_WithMacro
2013-06-12,1.3547866075214385,1.2319491910940092,1.1811228263231672,1.1151432976554616
2013-06-13,1.3722925043528111,1.247866713879263,1.1887537750748014,1.1223474579315404
2013-06-14,1.3728446530800869,1.2483579902675737,1.1889929255772889,1.1225683880995743
2013-06-17,1.3798466361829556,1.2547245945057703,1.1920250633926068,1.1254309278169707
2013-06-18,1.3896655286081594,1.2636527118440306,1.1962662469990604,1.1294349855295776
2013-06-19,1.3710950926893284,1.2463344189351493,1.188273249682646,1.1216955624596123
2013-06-20,1.3328542193529385,1.2111473356932616,1.1717023323653777,1.1058614514342406
2013-06-21,1.3170010018512361,1.1959855022940027,1.1647341089646002,1.0989395491209637
2013-06-24,1.3170010018512361,1.1953875095428557,1.1647341089646002,1.0986648142336835
2013-06-25,1.3209160766714136,1.1983433677841628,1.166465322978788,1.1000231592973813
2013-06-26,1.3232649722186862,1.2004743005893603,1.167502446097956,1.1010012076179383
2013-06-27,1.3280474046476662,1.2039146094373478,1.1696121904335028,1.1025788274780026
2013-06-28,1.3287678280617388,1.2045640232658579,1.169929429112041,1.102876203193844
2013-07-01,1.3314493824211864,1.2069936020764465,1.1711099323175775,1.1039884415648347
2013-07-02,1.3433417907682426,1.2177728031265624,1.1763400663798607,1.1089180921231139
2013-07-03,1.345511856584609,1.219738775438166,1.1772902100380183,1.109813210760742
2013-07-05,1.367046953993967,1.239257855054357,1.1867115537549764,1.1186931991878368
2013-07-08,1.3665058150597373,1.2383954454735844,1.1864766767364656,1.1183039453578167
2013-07-09,1.3747304174385022,1.2458479258360242,1.1900472063274463,1.1216688391090333
2013-07-10,1.3749984776513238,1.2460836790890442,1.1901632306415044,1.121774966458988
2013-07-11,1.3670598720610916,1.2388676022007454,1.186727504482666,1.1185268642066357
2013-07-12,1.3668190716379083,1.2378644214275385,1.186622986571226,1.1180739971518776
2013-07-15,1.3713550591473933,1.241616933815703,1.188591976892346,1.1197686845718289
2013-07-16,1.366454069220705,1.2370446781179387,1.1864680640271712,1.117706909877569
2013-07-17,1.3734358675205145,1.2430492732834908,1.189499150434974,1.1204195756471538
2013-07-18,1.3838143376437797,1.2524392286144226,1.1939934197657749,1.1246513828624212
2013-07-19,1.3843504370472046,1.2529201400387104,1.1942247004884186,1.1248673045957889
2013-07-22,1.3844682337404202,1.2530228799001828,1.1942755097766267,1.1249134243393206
2013-07-23,1.3839777200969667,1.2525783682466383,1.1940639453588555,1.124713892018575
2013-07-24,1.3701798936875136,1.2398469751074654,1.1881117227180553,1.118998012241559
2013-07-25,1.372506726133326,1.2418376844255028,1.1891205453253664,1.1198963488163778
2013-07-26,1.370021895041974,1.239475032653869,1.1880441339511525,1.118831022354731
2013-07-29,1.363047877300349,1.2331609208422656,1.1850202987489584,1.1159812577417592
2013-07-30,1.360229550230831,1.2304845298423674,1.1837951859552291,1.1147702226919964
2013-07-31,1.3630076042600154,1.2328729890633565,1.1850040433078406,1.1158521473944607
2013-08-01,1.3727076561317404,1.2414710876417923,1.1892206744742275,1.1197431429987792
2013-08-02,1.3758885305491144,1.2441881771026901,1.1905985212441317,1.1209684805531697
2013-08-05,1.371075719866367,1.2398339222351407,1.1885161849375632,1.119006967595305
2013-08-06,1.3641180022398218,1.2335404959231437,1.1855005382123114,1.1161669146789932
2013-08-07,1.3572847166992552,1.2272021692950406,1.1825312702777195,1.1132993029142804
2013-08-08,1.3615403939998159,1.2306335917527225,1.184385144937254,1.1148557702697512
2013-08-09,1.365701227708869,1.233874012682334,1.186194870765909,1.1163235515800012
2013-08-12,1.3710477632659857,1.2386154857523988,1.1885167669923842,1.1184684294212115
2013-08-13,1.3736888915173477,1.2408803273350666,1.1896615211339332,1.1194910041576784
2013-08-14,1.375953556947537,1.242922982817595,1.1906421599587702,1.1204124203437962
2013-08-15,1.3769244063640615,1.2434919589330011,1.1910622083828062,1.1206688674106673
2013-08-16,1.3777955549401266,1.2442715189333011,1.1914389872902182,1.1210201477773551
2013-08-19,1.3676166257442903,1.2350751088841145,1.187037908679788,1.1168774181578591
2013-08-20,1.3599832334086648,1.2276805982714154,1.1837251652165817,1.1135339931862742
2013-08-21,1.3495161549123444,1.218226165438201,1.1791699089759085,1.109246301273205
2013-08-22,1.3607333877464192,1.2283490543084687,1.1840705629516945,1.1138549598934642
2013-08-23,1.37659719786755,1.2422953106732337,1.1909726757203816,1.1201781246198719
2013-08-26,1.375400609358187,1.2412134458741038,1.190455057269269,1.119690365682295
2013-08-27,1.3725857635375764,1.2386694260632733,1.1892368858435114,1.1185428940359958
2013-08-28,1.3728255087522752,1.2385054203303496,1.1893407459665353,1.1184688438320904
2013-08-29,1.3614571162674887,1.2282486286986987,1.1844162700181735,1.1138374947522378
2013-08-30,1.3549425440991056,1.2218139352677475,1.1815825541499887,1.1109198432917908
2013-09-03,1.3628687106088233,1.2289573363443982,1.1850385752595027,1.114167369684958
2013-09-04,1.3550023641999827,1.2211155763544619,1.1816186112276534,1.110612716954833
2013-09-05,1.3537082742348898,1.219450418250157,1.1810543609991089,1.109855480783994
2013-09-06,1.362948429928204,1.2273308405215062,1.1850851874281145,1.1134415756829155
2013-09-09,1.3700423903057433,1.2332727502678573,1.188169290677739,1.1161368429784606
2013-09-10,1.3674053949370035,1.2305514383729579,1.1870258235343258,1.114905421759402
2013-09-11,1.370775639017076,1.2332767775235285,1.188488654809335,1.1161400289852172
2013-09-12,1.3597590163550881,1.2233622972008944,1.1837128437008604,1.1116536279776108
2013-09-13,1.3637093439912527,1.2267934807648,1.1854322857135668,1.113212564224788
2013-09-16,1.363758735938972,1.2264976551306128,1.185453753194793,1.1130783457039204
2013-09-17,1.3646842677750148,1.2270055353769436,1.1858560146651782,1.1133088029339187
2013-09-18,1.3943564386962093,1.253527112585428,1.1987479791971796,1.1253408209332616
