sma_fast,sma_slow,rsi_period,rsi_lower,rsi_upper,macro_gate,total_return,sharpe,max_dd,win_rate,profit_factor,expectancy,total_trades,passes_filters
50,100,10,30,70,unrate_only,-35.25781292566576,-1.0762821771770719,36.665126370923126,34.44444444444444,0.26602212058618563,-39.1753476951841,90,False
20,150,21,40,60,unrate_only,-30.81211168242794,-1.0774244504702188,33.10283166939971,33.68421052631579,0.3529079552989451,-32.433801770976714,95,False
50,250,21,30,70,payems_only,-45.800349729566555,-1.0791063003390966,47.33350259036345,26.89075630252101,0.32218118870255374,-38.4876888483753,119,False
100,250,10,30,70,both,-42.65901663782996,-1.0815232006682733,43.71756822479635,37.16216216216216,0.4000470310606818,-28.823659890425656,148,False
50,250,21,30,70,both,-46.633696328627714,-1.0816851628907627,48.19357302753322,26.61290322580645,0.33259446395058934,-37.60781961986102,124,False
100,250,14,35,65,both,-41.84447567147875,-1.08256289377549,43.933638222365204,33.87096774193548,0.3463797155411561,-33.74554489635387,124,False
100,200,14,35,65,both,-44.08888759913175,-1.092104299350609,45.04798544800085,33.59375,0.3565035382344137,-34.444443436821615,128,False
100,250,10,45,55,unrate_only,-18.045645500371247,-1.0939199199788838,18.973027189567173,25.423728813559322,0.21199713087357241,-30.585839831137683,59,False
100,150,14,35,65,both,-45.39099464494657,-1.0980747882148907,46.32775618153335,33.33333333333333,0.37905688574392293,-34.38711715526263,132,False
50,150,21,30,70,neither,-56.18641596092024,-1.09912746946712,57.53697171062069,27.450980392156865,0.37331461512819625,-36.72314768687596,153,False
100,250,10,30,70,payems_only,-42.323814654253646,-1.099695851391504,43.057543317982564,36.42857142857142,0.38188530566114204,-30.231296181609764,140,False
50,100,21,45,55,unrate_only,-23.272905424856628,-1.1015284078066185,24.65441371892989,31.818181818181817,0.2575223915624854,-35.261977916449425,66,False
100,250,14,35,65,payems_only,-41.30445317969162,-1.1018518174423444,43.13425791713591,33.33333333333333,0.3350874909155126,-34.42037764974299,120,False
100,250,21,40,60,payems_only,-38.613607696554006,-1.1063605666706096,39.24189037745058,34.306569343065696,0.397028910524727,-28.185115106973715,137,False
