Date,Equity
2009-05-14,1.6233010116174476
2009-05-15,1.6225070715118697
2009-05-18,1.6290507524488302
2009-05-19,1.6352635544705525
2009-05-20,1.6425712549660525
2009-05-21,1.6357643379617446
2009-05-22,1.6364711791973794
2009-05-26,1.64161272762615
2009-05-27,1.6320426148540066
2009-05-28,1.6429888999831854
2009-05-29,1.659720636222369
2009-06-01,1.674941154431822
2009-06-02,1.678267267995121
2009-06-03,1.6593365869608503
2009-06-04,1.6678124043502924
2009-06-05,1.6580818232516437
2009-06-08,1.6522668153973992
2009-06-09,1.6593272892023752
2009-06-10,1.6606947380836197
2009-06-11,1.670720789516295
2009-06-12,1.6660320150813168
2009-06-15,1.6447370317389087
2009-06-16,1.6385070376924684
2009-06-17,1.638169716685531
2009-06-18,1.633157368240741
2009-06-19,1.6411085171483493
2009-06-22,1.6189434509179617
2009-06-23,1.6262215371677562
2009-06-24,1.6329311644001552
2009-06-25,1.6522144767139164
2009-06-26,1.653030489930806
2009-06-29,1.6572852185031712
2009-06-30,1.649138865469399
2009-07-01,1.6595641245135901
2009-07-02,1.6401947038720919
2009-07-06,1.639226289618812
2009-07-07,1.6251847686554595
2009-07-08,1.6216117816317914
2009-07-09,1.6269831995903181
2009-07-10,1.6233831569654373
2009-07-13,1.6337484124886963
2009-07-14,1.6385707784370802
2009-07-15,1.6625537490437072
2009-07-16,1.665930152718111
2009-07-17,1.6688321928755667
2009-07-20,1.6867229254102447
2009-07-21,1.6925209943159631
2009-07-22,1.6919416882820395
2009-07-23,1.704865062138465
2009-07-24,1.706956171323087
2009-07-27,1.7098180291749496
2009-07-28,1.7012250776425537
2009-07-29,1.6801769953081522
2009-07-30,1.6940460186848076
2009-07-31,1.7143397823503184
2009-08-03,1.7360842773807195
2009-08-04,1.7347286415210303
2009-08-05,1.7327864809104605
2009-08-06,1.7280314453947918
2009-08-07,1.7260304235915012
2009-08-10,1.7226577924730475
2009-08-11,1.711375539698203
2009-08-12,1.7192656483899256
2009-08-13,1.734923946460845
2009-08-14,1.715993993076936
2009-08-17,1.69040617727365
2009-08-18,1.7081491417083774
2009-08-19,1.7218991213971022
2009-08-20,1.7276028653863666
2009-08-21,1.744030018087499
2009-08-24,1.7442840880958235
2009-08-25,1.7416904653813041
2009-08-26,1.7406875015523022
2009-08-27,1.7467138169792087
2009-08-28,1.7478365149742976
2009-08-31,1.7315161276178805
2009-09-01,1.7122710213683088
2009-09-02,1.7199423722861769
2009-09-03,1.7313764104581575
2009-09-04,1.7406151461898591
2009-09-08,1.7613967856857558
2009-09-09,1.766557337092
2009-09-10,1.7802322629468441
2009-09-11,1.7752392366019174
2009-09-14,1.7719750190845567
2009-09-15,1.7833835037166694
2009-09-16,1.8043418342148771
2009-09-17,1.802584794509173
2009-09-18,1.7982525796808844
2009-09-21,1.7853023618126278
2009-09-22,1.8034707616008874
2009-09-23,1.7837621835719888
2009-09-24,1.764042841094212
2009-09-25,1.7633206203365037
2009-09-28,1.777446929632881
2009-09-29,1.7744726221278704
2009-09-30,1.790842904623729
2009-10-01,1.7713178643666603
2009-10-02,1.7648264554429172
2009-10-05,1.7828961848466678
2009-10-06,1.7997279501479757
2009-10-07,1.8013288109106336
2009-10-08,1.8141537829025929
2009-10-09,1.8106056213296446
2009-10-12,1.8215032357382772
2009-10-13,1.8267833040588424
2009-10-14,1.8429551454913857
2009-10-15,1.8480193998307397
2009-10-16,1.8436190543293913
2009-10-19,1.8597321405614173
2009-10-20,1.8528619904737864
2009-10-21,1.853242612109947
2009-10-22,1.8612834262184852
2009-10-23,1.8462133605312951
2009-10-26,1.8277132633070619
2009-10-27,1.8263412138867714
2009-10-28,1.7960134428912884
2009-10-29,1.8287000412751593
2009-10-30,1.7975172735428562
2009-11-02,1.8102521283474535
2009-11-03,1.817724572948069
2009-11-04,1.828153640191543
2009-11-05,1.839441483910983
2009-11-06,1.8360045123979716
2009-11-09,1.8628953921246163
2009-11-10,1.860630546116987
2009-11-11,1.8695290723350264
2009-11-12,1.8487525619074825
2009-11-13,1.860678878708445
2009-11-16,1.8874645415024265
2009-11-17,1.8882355596614329
2009-11-18,1.8853223089735136
2009-11-19,1.8685127206914627
2009-11-20,1.8642932199096411
2009-11-23,1.8784699861298775
2009-11-24,1.875508445516581
2009-11-25,1.8935158289895013
2009-11-27,1.8657095202260907
2009-11-30,1.8765682942398594
2009-12-01,1.8959302570893473
2009-12-02,1.895240270751427
2009-12-03,1.8865839930331896
2009-12-04,1.8750680561720323
2009-12-07,1.8657117356002648
2009-12-08,1.8484254192811538
2009-12-09,1.842019909062754
2009-12-10,1.8436738568698814
2009-12-11,1.837899177687746
2009-12-14,1.8472423740114046
2009-12-15,1.8403987872726448
2009-12-16,1.8541522077810237
2009-12-17,1.8293935157963852
2009-12-18,1.835676185461305
2009-12-21,1.8266281372487554
2009-12-22,1.8304477420565266
2009-12-23,1.8442626644232085
2009-12-24,1.8538398997619006
2009-12-28,1.8585067699763738
2009-12-29,1.8562683590767384
2009-12-30,1.8577247747593173
2009-12-31,1.8556848229246639
2010-01-04,1.8851892294796229
2010-01-05,1.8905330690932718
2010-01-06,1.89853386688122
2010-01-07,1.8943469364272691
2010-01-08,1.9019413458378438
2010-01-11,1.904688766882989
2010-01-12,1.887498809942557
2010-01-13,1.889962124300849
2010-01-14,1.8934000624599077
2010-01-15,1.8781891903267784
2010-01-19,1.8922229632414578
2010-01-20,1.8667563713316833
2010-01-21,1.8444168975176851
2010-01-22,1.8236513884914167
2010-01-25,1.8293950534872916
2010-01-26,1.8207578754630562
2010-01-27,1.814684760384501
2010-01-28,1.8059981672228558
2010-01-29,1.7995647288587948
2010-02-01,1.8162212652083394
2010-02-02,1.8325969712012808
2010-02-03,1.825803543532357
2010-02-04,1.7812525426848416
2010-02-05,1.7796178299570966
2010-02-08,1.7704753086263805
2010-02-09,1.7812745841448985
2010-02-10,1.7753707131553875
2010-02-11,1.7897288304721903
2010-02-12,1.7854349681258577
2010-02-16,1.8069677294130841
2010-02-17,1.8068001848591695
2010-02-18,1.8152531765842088
2010-02-19,1.8145424628953744
2010-02-22,1.8136837004297826
2010-02-23,1.7990476900990169
2010-02-24,1.8087935223509863
2010-02-25,1.8031950262636485
2010-02-26,1.815400860208961
2010-03-01,1.8214828587452774
2010-03-02,1.8330859028645252
2010-03-03,1.8413735647378595
2010-03-04,1.8380943769152567
2010-03-05,1.8540941311083443
2010-03-08,1.8519227959850348
2010-03-09,1.8519645782342642
2010-03-10,1.8546867078047087
2010-03-11,1.8574500375949876
2010-03-12,1.8545870839064853
2010-03-15,1.8484773546352538
2010-03-16,1.8686745674640968
2010-03-17,1.8760251304727171
2010-03-18,1.871259262975533
2010-03-19,1.8554149864800051
2010-03-22,1.8604823165793707
2010-03-23,1.8668402307013008
2010-03-24,1.8443401348788906
2010-03-25,1.841750132659836
2010-03-26,1.8495625727239189
2010-03-29,1.8637558440878865
2010-03-30,1.8632981403333253
2010-03-31,1.8675108449593578
2010-04-01,1.8875789116019455
2010-04-05,1.8943530516524938
2010-04-06,1.8958351775543607
2010-04-07,1.8932595593546688
2010-04-08,1.8938496600309358
2010-04-09,1.9009256930199208
2010-04-12,1.8986768231573552
2010-04-13,1.8989468750966203
2010-04-14,1.912949971052284
2010-04-15,1.913546323182411
2010-04-16,1.888400674727067
2010-04-19,1.8830742181003162
2010-04-20,1.8921871354293807
2010-04-21,1.8930691220452374
2010-04-22,1.8902658916643937
2010-04-23,1.9005143358592385
2010-04-26,1.8957135659788067
2010-04-27,1.8734403658320122
2010-04-28,1.8789987792668261
2010-04-29,1.8967196403422666
2010-04-30,1.8942476618856217
2010-05-03,1.9008153047732075
2010-05-04,1.8659169199743653
2010-05-05,1.8523059323081081
2010-05-06,1.8410329195123512
2010-05-07,1.8362958769105888
2010-05-10,1.8447171323887106
2010-05-11,1.8473338595903925
2010-05-12,1.853940125090176
2010-05-13,1.8489387615924993
2010-05-14,1.8418982008944091
2010-05-17,1.8398015647271768
2010-05-18,1.8401265098247155
2010-05-19,1.8337487869225244
2010-05-20,1.8250607887858235
2010-05-21,1.8245497135159725
2010-05-24,1.8282276418890666
2010-05-25,1.8292149375138855
2010-05-26,1.8308063670012416
2010-05-27,1.8273278457224817
2010-05-28,1.825797262645006
2010-06-01,1.8282574303056696
2010-06-02,1.8272742929422876
2010-06-03,1.8234233893943257
2010-06-04,1.8229258566240123
2010-06-07,1.8298662396134713
2010-06-08,1.8279789153312167
2010-06-09,1.827388049608936
2010-06-10,1.8206167155088848
2010-06-11,1.82502234899741
2010-06-14,1.823941095228467
2010-06-15,1.825602039575716
2010-06-16,1.8254963808710631
2010-06-17,1.831964493678335
2010-06-18,1.8331074797050309
2010-06-21,1.8288058507696274
2010-06-22,1.8253717458346077
2010-06-23,1.8268181273469195
2010-06-24,1.8261813418217074
2010-06-25,1.8299959997897937
2010-06-28,1.8301915142783414
2010-06-29,1.8320961122680406
2010-06-30,1.8341390344488873
2010-07-01,1.8254299893441621
2010-07-02,1.826875890645698
2010-07-06,1.8252706995148327
2010-07-07,1.826791619035549
2010-07-08,1.824619503500288
2010-07-09,1.8256407674909012
2010-07-12,1.8227642859050597
2010-07-13,1.8231659834955958
2010-07-14,1.82551220207998
2010-07-15,1.8261930530779873
2010-07-16,1.8256004247020554
2010-07-19,1.8229122932901722
2010-07-20,1.825042919709856
2010-07-21,1.8247065041590091
2010-07-22,1.824937115704784
2010-07-23,1.8241473868765863
2010-07-26,1.8246735073760336
2010-07-27,1.8186564841467334
2010-07-28,1.8186796487244392
2010-07-29,1.8197482756648307
2010-07-30,1.826008360666249
2010-08-02,1.83050656497016
2010-08-03,1.8306713982189537
2010-08-04,1.8321153157603631
2010-08-05,1.8329789905584866
2010-08-06,1.8373499851335766
2010-08-09,1.8398771000764462
2010-08-10,1.8355481643275986
2010-08-11,1.8122289770394502
2010-08-12,1.8136478606743112
2010-08-13,1.8172090299828894
2010-08-16,1.8261310904344865
2010-08-17,1.8267633593255204
2010-08-18,1.8272133580700431
2010-08-19,1.827781634114449
2010-08-20,1.825669230539664
2010-08-23,1.8242715279150288
2010-08-24,1.8256977858220844
2010-08-25,1.8264603597323745
2010-08-26,1.8272447171476855
2010-08-27,1.82139121275686
2010-08-30,1.8221989800505636
2010-08-31,1.8263532515965866
2010-09-01,1.821776863545851
2010-09-02,1.821754785339245
2010-09-03,1.8200976401293276
2010-09-07,1.8193369814664033
2010-09-08,1.8205840364450543
2010-09-09,1.8156860693512782
2010-09-10,1.816526261719658
2010-09-13,1.8302947558505476
2010-09-14,1.8391461390934698
2010-09-15,1.838683294431139
2010-09-16,1.8357228053315902
2010-09-17,1.83572544539181
2010-09-20,1.8485294340006373
2010-09-21,1.8543456003224688
2010-09-22,1.8536483731176607
2010-09-23,1.8487053767306865
2010-09-24,1.8623733093342427
2010-09-27,1.86351539647346
2010-09-28,1.8712006655333253
2010-09-29,1.8704221562417733
2010-09-30,1.869582439191344
2010-10-01,1.8769008523702793
2010-10-04,1.8718124724867595
2010-10-05,1.8925273636848539
2010-10-06,1.8991637510658779
2010-10-07,1.8936607508296215
2010-10-08,1.902074963870447
2010-10-11,1.9033071240509227
2010-10-12,1.9006796181100563
2010-10-13,1.9132501244232798
2010-10-14,1.910617835552161
2010-10-15,1.905083419640477
2010-10-18,1.9115832190769517
2010-10-19,1.8892405147062223
2010-10-20,1.9025010665838884
2010-10-21,1.8960708165028939
2010-10-22,1.8983451702573444
2010-10-25,1.905380471060725
2010-10-26,1.9003322122924233
2010-10-27,1.888407163523491
2010-10-28,1.8978324517669223
2010-10-29,1.9031254488218372
2010-11-01,1.9031287932927492
2010-11-02,1.9152606657120155
2010-11-03,1.920735368047965
2010-11-04,1.9546717965142923
2010-11-05,1.953262710638394
2010-11-08,1.9521330070472176
2010-11-09,1.9327811698537714
2010-11-10,1.9458163658164769
2010-11-11,1.9385441812692856
2010-11-12,1.9073720971623185
2010-11-15,1.8977122349134359
2010-11-16,1.876378884850425
2010-11-17,1.877324986012114
2010-11-18,1.8948597961063403
2010-11-19,1.8974340381698418
2010-11-22,1.899429829734787
2010-11-23,1.8838316698455158
2010-11-24,1.8905058746231977
2010-11-26,1.8778707864753112
2010-11-29,1.8799384171390712
2010-11-30,1.8725647122923401
2010-12-01,1.8859885074332048
2010-12-02,1.899871549216002
2010-12-03,1.9119252539847749
2010-12-06,1.9154638252361007
2010-12-07,1.899422587924303
2010-12-08,1.8928079217134657
2010-12-09,1.8959278482085666
2010-12-10,1.893681165510659
2010-12-13,1.9015050360478678
2010-12-14,1.8974356998564859
2010-12-15,1.8858886622535749
2010-12-16,1.8863072914100554
2010-12-17,1.8887034482271823
2010-12-20,1.8918416199197796
2010-12-21,1.901580593138455
2010-12-22,1.9041649461199324
2010-12-23,1.9045113040973713
2010-12-27,1.9034713801978373
2010-12-28,1.906042194754661
2010-12-29,1.913427366240467
2010-12-30,1.9075505414745328
2010-12-31,1.920726611941756
2011-01-03,1.9272259047114002
2011-01-04,1.9161769079264201
2011-01-05,1.9149817364589135
2011-01-06,1.9034451976625608
2011-01-07,1.9013022033191473
2011-01-10,1.9032847134874018
2011-01-11,1.9126030898126052
2011-01-12,1.9263069511903623
2011-01-13,1.9217688184741661
2011-01-14,1.9232771058113705
2011-01-18,1.9247877471694181
2011-01-19,1.9181315156683847
2011-01-20,1.900633961027917
2011-01-21,1.900392208816964
2011-01-24,1.901196334530818
2011-01-25,1.8966324827292347
2011-01-26,1.904758625066135
2011-01-27,1.8941476334064482
2011-01-28,1.893057475834939
2011-01-31,1.9040308678426434
2011-02-01,1.9168084439615063
2011-02-02,1.9136775475511991
2011-02-03,1.9160078562354057
2011-02-04,1.9101254723327674
2011-02-07,1.9083606190569866
2011-02-08,1.9136272602127429
2011-02-09,1.905849857460933
2011-02-10,1.9008251444933202
2011-02-11,1.9011256601862239
2011-02-14,1.9011334653689982
2011-02-15,1.8992621060133759
2011-02-16,1.905540712334729
2011-02-17,1.9135616243265494
2011-02-18,1.9193293408261225
2011-02-22,1.9162680569138717
2011-02-23,1.9253380996637242
2011-02-24,1.9194075577057614
2011-02-25,1.934801207561336
2011-02-28,1.9385240362917968
2011-03-01,1.9405678794610834
2011-03-02,1.9492617262744514
2011-03-03,1.955083871952435
2011-03-04,1.9612832127247366
2011-03-07,1.9538169460082648
2011-03-08,1.9587017972126397
2011-03-09,1.9587573941404066
2011-03-10,1.9360919931751208
2011-03-11,1.9367279645913809
2011-03-14,1.9351964660596586
2011-03-15,1.909908076902471
2011-03-16,1.8970155438722176
2011-03-17,1.9172423467518638
2011-03-18,1.926014317936087
2011-03-21,1.9412617394155454
2011-03-22,1.9454928496831372
2011-03-23,1.9527138169540899
2011-03-24,1.9573450740607552
